snapshot_idx,snapshot_file,sweep_label,L,T,J,h,n_equil_sweeps,n_meas_sweeps,store_every
0,snapshot_sweep100_idx0000.csv,100,16,4.5,2.0,0.0,100,500,50
1,snapshot_sweep150_idx0001.csv,150,16,4.5,2.0,0.0,100,500,50
2,snapshot_sweep200_idx0002.csv,200,16,4.5,2.0,0.0,100,500,50
3,snapshot_sweep250_idx0003.csv,250,16,4.5,2.0,0.0,100,500,50
4,snapshot_sweep300_idx0004.csv,300,16,4.5,2.0,0.0,100,500,50
5,snapshot_sweep350_idx0005.csv,350,16,4.5,2.0,0.0,100,500,50
6,snapshot_sweep400_idx0006.csv,400,16,4.5,2.0,0.0,100,500,50
7,snapshot_sweep450_idx0007.csv,450,16,4.5,2.0,0.0,100,500,50
8,snapshot_sweep500_idx0008.csv,500,16,4.5,2.0,0.0,100,500,50
9,snapshot_sweep550_idx0009.csv,550,16,4.5,2.0,0.0,100,500,50
